Time,P_charge,P_discharge,Battery_SoC,P_grid,P_waste,Cost_grid,Energy_waste
0,9.969899427703735,1030.8363899632805,228.63501449303817,712.319383431413,22.798898799488327,71.23193834314131,22.798898799488327
1,110.48716816714762,618.8528174870905,0.0,1216.0969047085287,1460.1508649721582,121.60969047085287,1460.1508649721582
2,64.28787901206029,98.59808192913351,0.0,1310.048470310475,150.28446199749732,131.00484703104752,150.28446199749732
3,3.053018446698296,326.778677970873,0.0,501.8079624928217,29.575141161492944,50.18079624928217,29.575141161492944
4,936.7130256641661,500.84133033332307,389.03604404763473,820.6657987334132,625.1069660637878,82.06657987334133,625.1069660637878
5,115.69968243015107,136.51341350828966,362.43732884798857,1507.3395652992365,119.51840784872759,150.73395652992366,119.51840784872759
6,24.943231227950342,17.282756906249006,368.8506416082924,850.2939739144795,8.444376922845358,85.02939739144796,8.444376922845358
7,845.9841656674636,126.22451124999998,1046.3110877423828,1377.3011465604718,716.890615702997,137.7301146560472,716.890615702997
8,41.296152250229014,55.85859976314168,1029.6838326169586,1407.2698140999137,189.3371190492228,140.72698140999137,189.3371190492228
9,10.157524907752514,9.127991115919713,1030.2054901634037,1684.0091980514621,23.637935238145563,168.40091980514623,23.637935238145563
10,1068.3069067426559,26.66951382187085,2018.427537747056,1906.7023633847368,468.17000584134985,190.6702363384737,468.17000584134985
11,77.37093522683611,54.20955482489899,2037.7203713876515,2064.1403489261925,166.45423853489302,206.41403489261927,166.45423853489302
12,9.624644472469042,24.633991123846272,2022.2297925126509,1601.6828421792798,7.927055178833834,160.16828421792798,7.927055178833834
13,381.1422931060745,542.5181404672103,1841.7968304962114,921.7106250293701,775.2587516282035,92.17106250293702,775.2587516282035
14,100.04844027314314,59.1801845756745,1877.6626641800228,2212.825880225512,128.72840125549777,221.28258802255118,128.72840125549777
15,11.957957471200025,772.9411961675316,1116.0815276101312,113.69350239509129,15.621275714861632,11.36935023950913,15.621275714861632
16,8.53087384446809,127.20025846212116,996.9855993002548,1471.1897756369397,486.1935962147316,147.11897756369396,486.1935962147316
17,64.80598072600444,49.66006556468324,1008.8912154252757,1733.0773891903993,40.222939943811156,173.30773891903993,40.222939943811156
18,12.40869837299434,8.67610926990551,1012.0033696097148,805.0759415430746,2.4708675172928736,80.50759415430747,2.4708675172928736
19,112.38889096418825,391.7324741523299,727.0403418733637,1191.9402511469948,680.5597706862594,119.19402511469949,680.5597706862594
20,63.79894799860905,142.7360239296163,644.9133185424259,2016.409074328117,120.12823793066902,201.6409074328117,120.12823793066902
21,5.954651237258873,11.628683957036856,638.941553260785,1026.3242919823372,16.491272355272685,102.63242919823372,16.491272355272685
22,183.51579795273648,76.10898882319475,737.1725724926898,1194.6672954584978,84.33045193433344,119.46672954584979,84.33045193433344
23,20.268416828942975,19.005325631199184,737.4222428489865,1931.0885558268963,9.139118404129391,193.10885558268964,9.139118404129391
24,10.836190975087305,13.466312279415888,734.2503119959035,966.0089788945919,8.445363689925713,96.60089788945919,8.445363689925713
25,76.69502484445673,434.1672917873665,372.9432938107709,889.5561586857651,993.4382909947154,88.95561586857652,993.4382909947154
26,74.29099242068804,76.49584192897692,367.02389468144764,1893.886381165762,116.68218832053128,189.3886381165762,116.68218832053128
27,36.520941844670666,13.303209801175853,388.4155796327089,921.6082168802667,5.178408689073748,92.16082168802667,5.178408689073748
28,943.2672034351367,254.80862756882232,1029.7107953272666,1354.0373680404796,668.4513703143098,135.40373680404795,668.4513703143098
29,103.16153677406747,79.24992334314356,1048.4643319194872,1624.6739373843586,149.594189294214,162.46739373843587,149.594189294214
30,25.75999902117613,103.4674312426962,969.4688997469084,972.9485171600076,14.940817317662425,97.29485171600076,14.940817317662425
31,44.35963165757141,463.9893883993386,547.6211614222626,731.5209855671163,1606.6533722407057,73.15209855671164,1606.6533722407057
32,141.60463702861034,78.56286014296393,603.5827064564785,2233.7853766964554,118.49242495151412,223.37853766964554,118.49242495151412
33,8.336587820123205,7.850973531261616,603.6514913543339,949.5506690737241,37.72255990264675,94.95506690737241,37.72255990264675
34,1077.504659775788,628.1487348879765,999.132183253356,711.2319473238605,591.0319160499921,71.12319473238605,591.0319160499921
35,131.81523300256237,141.8554857661104,982.5011688396798,1483.7522418413425,125.46905659754566,148.37522418413425,125.46905659754566
36,28.584094840422463,11.950167359999568,997.7058915780816,1135.352828990253,16.715604339743056,113.53528289902532,16.715604339743056
37,1254.8991360704442,269.0848863060496,1920.775184538954,1619.7519185815352,363.499772081542,161.97519185815352,363.499772081542
38,101.55846552981944,313.88946795045683,1703.3662588418256,2356.0644569831948,160.57785642581706,235.60644569831948,160.57785642581706
39,12.832736832833628,23.80497944686772,1691.7523793861499,1286.2654193999479,35.125032246447475,128.62654193999478,35.125032246447475
40,674.7523605446537,161.86500695754262,2170.9021149460286,1416.6878949984039,887.9255267592054,141.6687894998404,887.9255267592054
41,142.90084310913787,123.73532684781276,2182.922589051897,2057.18336737045,127.08311378674452,205.718336737045,127.08311378674452
42,3.3653396422693067,12.173302378353355,2173.9463593336995,888.3286972181029,30.387928917928527,88.8328697218103,30.387928917928527
43,418.21264606942634,655.4319895085556,1915.816383591099,1561.369250720812,631.2889843623251,156.13692507208123,631.2889843623251
44,30.94541222632617,116.49030098223625,1828.7242242238726,2206.949675446887,218.39279540023523,220.6949675446887,218.39279540023523
45,21.045065017177002,10.638704366774618,1838.0783316234163,845.3597207061866,35.92763954005692,84.53597207061867,35.92763954005692
46,754.822674687276,92.36724845944741,2462.7926241168807,1595.5663877301213,750.7278055784482,159.55663877301214,750.7278055784482
47,64.38194686325623,360.27157956625365,2163.6838940707203,1509.0484591164136,213.759049934674,150.90484591164136,213.759049934674
48,22.280358214832674,153.66649460432518,2031.1837397704862,756.8030326985631,28.67301344916597,75.68030326985631,28.67301344916597
49,669.7008470321421,94.68426337432106,2500.0,1928.457459957545,784.9806447409837,192.84574599575453,784.9806447409837
50,78.940957662824,96.4381324052506,2478.555777374432,2107.3595075455255,191.01487150925828,210.73595075455256,191.01487150925828
51,39.968686382659904,917.0021420050261,1599.523887432933,138.8406780429483,11.265962519340398,13.88406780429483,11.265962519340398
52,12.239305830181706,730.9509195043637,880.2003084672418,1000.2653330243672,1703.2424410180734,100.02653330243673,1703.2424410180734
53,197.03761336220873,86.77986663692741,980.6061745244126,1983.9437995273522,98.21910336812181,198.39437995273522,98.21910336812181
54,27.522918239468485,19.258349154995585,987.4945976969121,841.6398464656471,24.414923757535934,84.16398464656471,24.414923757535934
55,1210.1186351705378,43.47016652057664,2093.6371345883463,1358.640242401992,293.181627191173,135.8640242401992,293.181627191173
56,108.90699829435238,906.7151371696298,1290.3836457983514,1127.1878034458568,202.2278185211713,112.7187803445857,202.2278185211713
57,25.70731145685367,8.528393786124752,1306.2771978962376,1031.3051261684454,31.99671391918454,103.13051261684456,31.99671391918454
58,1466.7886707084763,530.0085092037948,2169.717925865495,1740.4745098537926,210.48156335725434,174.04745098537927,210.48156335725434
59,107.43176715441417,48.12733011589057,2223.6507745462977,2259.980816644737,176.96764818905274,225.99808166447372,176.96764818905274
60,15.418821498115204,15.580876263967184,2222.71777870554,904.3364699302881,32.763969371567214,90.43364699302882,32.763969371567214
61,108.321744528767,689.3859752863092,1636.2374607215593,1189.9062639550757,1543.1834945360129,118.99062639550758,1543.1834945360129
62,64.02662981930796,216.3388964682449,1480.723862581657,2262.4399237007474,221.49789447616553,226.24399237007475,221.49789447616553
63,15.80860423714742,14.324946921793526,1481.4170896851535,898.0238663386018,30.74277865212543,89.80238663386018,30.74277865212543
64,547.352283107167,605.4218820494384,1395.9798765875237,1134.5705073178224,659.8193030864085,113.45705073178225,659.8193030864085
65,71.2881496274153,94.85454557627259,1368.8490731572956,2102.591607691024,223.58884283161302,210.2591607691024,223.58884283161302
66,7.895739731059248,129.376271146494,1246.973754755308,804.0137804602792,43.66237799464294,80.40137804602793,43.66237799464294
67,1005.9115482499067,184.08408219687726,2018.505643395842,1131.4139247324817,704.6337830714192,113.14139247324817,704.6337830714192
68,52.09068124819255,108.4288221195311,1959.562968462094,1931.5881902167855,245.7819137955533,193.15881902167857,245.7819137955533
69,7.727587626699698,882.7791732561265,1084.1250034513323,418.98972066213935,37.29083431546417,41.898972066213936,37.29083431546417
70,24.06820813569982,592.2086632125186,514.7811379677287,1385.400438827153,1641.7681062052643,138.5400438827153,1641.7681062052643
71,97.92903719886213,264.38083332432836,343.43288998231935,1343.8106099404251,190.07072679102583,134.3810609940425,190.07072679102583
72,25.87605093457108,57.74635660560534,310.26878176455654,972.4650715217996,22.925549858714948,97.24650715217996,22.925549858714948
73,70.45731327919168,757.7646762595483,0.0,727.1321491887087,1592.9178252292577,72.71321491887088,1592.9178252292577
74,88.46879938890476,731.701886788814,0.0,1114.7123540808316,201.21862802899312,111.47123540808316,201.21862802899312
75,34.59429882144509,32.74923252223539,0.11535135813744546,824.9930751396927,14.643281690743507,82.49930751396927,14.643281690743507
76,1129.5266920072238,105.91811127232654,967.2475974926735,1366.7252613010996,521.1487792054509,136.67252613010996,521.1487792054509
77,89.57634150223848,98.48903651515798,953.856085404642,1395.4184855634544,201.6018552770681,139.54184855634546,201.6018552770681
78,19.2135215417617,2346.7537831687932,0.0,0.0,31.430445160435134,0.0,31.430445160435134
79,1499.930510688731,90.44819881042622,1334.485786343868,1678.89292392978,176.15835897739316,167.889292392978,176.15835897739316
80,130.7507495295537,553.663439698368,905.035558698576,1532.2194616654567,156.08171392262747,153.22194616654568,156.08171392262747
81,29.385295066725853,29.337339446509077,903.6142495654565,1094.7172894892792,21.764970663873946,109.47172894892793,21.764970663873946
82,985.3855086160995,235.88986011418467,1603.8406226365664,1921.3384263860744,678.4537373350527,192.13384263860746,678.4537373350527
83,237.9111124301267,55.60100118563764,1774.2551782595492,2062.8866421610537,43.9427439094253,206.2886642161054,43.9427439094253
84,29.858110769856125,21.648057791128167,1780.9723256997843,709.9637201903311,20.72960048474038,70.9963720190331,20.72960048474038
85,139.16850473636998,735.5784447953637,1177.603960403972,756.7459366566842,1501.3669220463457,75.67459366566843,1501.3669220463457
86,44.279611187577586,158.4308544732096,1061.2387365589611,1689.8989823583752,237.7008199090751,168.98989823583753,237.7008199090751
87,10.102464882881566,28.65253831057612,1042.1835398871226,884.4931850698098,43.8043177801344,88.44931850698099,43.8043177801344
88,456.1357433511022,103.60354348788906,1371.9089525827806,1281.195122815119,1180.574312994791,128.1195122815119,1180.574312994791
89,191.45633641540024,745.8462037932436,807.9462683841671,1124.2041970386865,93.51969726597002,112.42041970386866,93.51969726597002
90,14.719676499587862,63.73498994569559,758.19497111308,770.4097368054852,37.58382590681869,77.04097368054852,37.58382590681869
91,410.57388747905674,116.22798687937484,1032.0121773388091,1978.9366404092175,1191.1593443213312,197.89366404092175,1191.1593443213312
92,101.60703567891892,275.257666492107,853.281194741675,1782.2823113999907,190.85097253329525,178.22823113999908,190.85097253329525
93,26.203488169550663,22.968607586887856,855.2059009158603,988.9455190566581,25.74841768935384,98.89455190566582,25.74841768935384
94,740.4452394161126,874.8735599717801,683.7553183893871,881.3081861781393,709.5951779299864,88.13081861781393,709.5951779299864
95,76.57780929249192,71.31530967809226,685.1889275391621,1774.7656554432047,188.18845483845996,177.47656554432047,188.18845483845996
96,6.119617167417909,4.868971761162129,686.133592087047,859.553133486765,14.976175682705739,85.9553133486765,14.976175682705739
97,258.2209315578172,70.29744817503206,861.1460288919412,1342.202214094573,804.7257508504129,134.2202214094573,804.7257508504129
98,129.09796276155615,601.3292609730842,382.45983254233545,1247.2355256388287,158.91586509023196,124.72355256388288,158.91586509023196
99,10.377200992435526,16.41612387346845,375.90204961168075,1629.5555915172606,11.027996819489935,162.95555915172608,11.027996819489935
100,430.33439928119026,39.347828809415205,745.3719001193963,1860.7282998776977,751.9300874873394,186.07282998776978,751.9300874873394
101,141.38638858368185,156.36026260288486,723.3287066710092,2440.454741031394,149.15893441012113,244.0454741031394,149.15893441012113
102,34.45653329749026,15.490584728114527,740.5718285755104,1519.6816747629794,16.67966857120946,151.96816747629794,16.67966857120946
103,980.9570789018792,374.56832912772643,1297.9127244045692,1230.4393338853079,359.97589782338036,123.04393338853079,359.97589782338036
104,64.25288826929294,115.94890162761726,1243.0040666327802,2100.775753491548,205.64668545518902,210.0775753491548,205.64668545518902
105,34.183962828749074,17.431318940543633,1258.0475123795482,737.5933748274376,4.294763329876453,73.75933748274376,4.294763329876453
106,152.2058537461991,47.44030629205804,1355.2027671463793,1384.462486192972,147.79038444445925,138.4462486192972,147.79038444445925
107,86.6828230962272,69.50504762885521,1368.04640145894,1855.5225832586025,107.37034340111018,185.55225832586027,107.37034340111018
108,25.15809830180916,15.94579751235824,1376.0007973333004,783.2601551232349,21.44954003506401,78.3260155123235,21.44954003506401
109,365.0883695848164,21.223977011636634,1701.6107714272393,1369.1378073704182,1199.0943509423514,136.91378073704183,1199.0943509423514
110,117.40971814668487,159.05526852419894,1654.094735142391,1400.0090614892874,189.30904603221288,140.00090614892875,189.30904603221288
111,38.925455455794584,52.08923124951821,1638.9846865758777,864.3261956934615,15.136029688122292,86.43261956934616,15.136029688122292
112,1056.5530525031731,62.19941990090524,2500.0,1448.2985184272031,513.8037033981313,144.82985184272033,513.8037033981313
113,106.39915332137734,3.7608152421744308,2500.0,1426.2176710375877,217.32281989472,142.62176710375877,217.32281989472
114,29.906271816601482,19.160632255800692,2500.0,872.5968121457381,24.19740491301564,87.25968121457382,24.19740491301564
115,962.3695005882907,119.12756497331497,2500.0,1126.1103209898995,625.623338135717,112.61103209898995,625.623338135717
116,242.9150801312893,69.4488743813049,2500.0,1573.2933862767577,70.3996352787471,157.32933862767578,70.3996352787471
117,44.099493952421334,14.682437428047251,2500.0,742.6004174963263,10.299523877097506,74.26004174963263,10.299523877097506
118,168.46779401576657,564.2093737284667,2095.8350305865115,580.4952001627446,1514.0201328148946,58.049520016274464,1514.0201328148946
119,80.0385709424303,160.25423007602262,2011.6174429057976,1185.3957121538183,239.74552094164403,118.53957121538184,239.74552094164403
120,41.78246384441476,21.69910612900958,2029.6116774289821,759.1334671319099,18.537439845038797,75.91334671319099,18.537439845038797
121,704.5774783431272,72.65604325236313,2500.0,1534.3070153650299,1009.9760536197222,153.430701536503,1009.9760536197222
122,55.05369507374259,60.895032812686395,2491.4059775073692,2093.1531345550334,269.96215343716244,209.31531345550334,269.96215343716244
123,26.61446967782787,27.700438038192942,2488.989285663113,1260.405784353652,32.69283595481974,126.0405784353652,32.69283595481974
124,1583.7254425009285,373.5820389451326,2500.0,1564.046836196707,160.05279449029217,156.40468361967072,160.05279449029217
125,50.98733074414692,149.67650442195713,2398.7614597849824,1881.2501980116306,278.1632931653823,188.12501980116306,278.1632931653823
126,30.115420002023093,73.82952201328317,2353.541586773621,866.6777518778315,29.38877969722568,86.66777518778315,29.38877969722568
127,866.0043068656837,542.5101337381868,2500.0,914.9460121900304,882.4571961382642,91.49460121900304,882.4571961382642
128,186.9135746231322,125.72509792058099,2500.0,1523.7631416837337,132.44860140393968,152.37631416837337,132.44860140393968
129,20.211369914522567,838.5636517948208,1680.6371496239756,45.038288625698215,21.54423606682217,4.503828862569821,21.54423606682217
130,425.93380861029266,8.527411219845135,2076.746856583908,1435.0383243837634,963.26634215605,143.50383243837635,963.26634215605
131,138.53205169809473,89.46741706683747,2118.8848886302603,1881.2031605167338,162.392401377969,188.1203160516734,162.392401377969
132,34.3837227333133,17.9940070267146,2133.5554182001933,899.3495532458732,18.144801463494574,89.93495532458732,18.144801463494574
133,747.0475802375797,49.71773598296636,2500.0,1814.5608551313057,708.3511684924506,181.45608551313057,708.3511684924506
134,157.40283181766216,12.018339478512189,2500.0,1786.3617361330269,164.57522252282502,178.6361736133027,164.57522252282502
135,15.948753552988608,24.630103616967745,2490.5212122583716,913.593766919663,39.56130936663676,91.3593766919663,39.56130936663676
136,222.64598015002366,23.769140154430943,2500.0,1230.3718253563056,1409.5214488021427,123.03718253563056,1409.5214488021427
137,79.829175684755,169.0686865895343,2406.769030310983,1869.5361698732625,220.11080705830307,186.95361698732626,220.11080705830307
138,10.690723644715778,12.1994877060215,2404.7257300674414,1009.5276551342075,44.84746699870975,100.95276551342076,44.84746699870975
139,490.0816128697703,62.58898676275021,2500.0,1131.018289133119,258.9737357905202,113.1018289133119,258.9737357905202
140,33.29423282659178,680.3469444474187,1851.2825767378436,1105.9203885143834,232.10490508986373,110.59203885143835,232.10490508986373
141,8.027077349352853,9.059222424860536,1849.8490777948682,860.8742088484496,1.8738814283051806,86.08742088484496,1.8738814283051806
142,220.95538731218198,24.909936321235364,2034.8467594202057,1593.692676174723,329.9964026235473,159.3692676174723,329.9964026235473
143,37.49099389098576,13.206434914431384,2057.256768702211,1884.2040040138747,46.61090027150719,188.4204004013875,46.61090027150719
144,7.9238860506694415,11.15620982838982,2053.6282506219572,1393.7987229226221,24.113591357718338,139.3798722922622,24.113591357718338
145,374.4455609024532,29.171657987852313,2380.1798754914353,2319.8387224537432,993.4619029471642,231.98387224537433,993.4619029471642
146,211.95993314386845,88.63839704173097,2492.9034149363792,2275.5636477575767,87.38936739938623,227.5563647757577,87.38936739938623
147,11.049520060561402,30.16034930266619,2473.2401096912463,969.1522316804292,19.820656810119537,96.91522316804293,19.820656810119537
148,272.71451671492093,116.03927438602159,2500.0,1190.5237364434406,481.3335029198988,119.05237364434407,481.3335029198988
149,70.86696497839674,1329.9964137471743,1237.3272029823024,814.1036298360823,215.12166675977952,81.41036298360824,215.12166675977952
150,6.931921511100844,2.3569965475846857,1241.5555318702636,1679.4957416703721,35.68158004614893,167.9495741670372,35.68158004614893
151,1156.1576851499103,190.3353697456198,2149.5699630170584,1729.3963080332621,313.17835072310186,172.93963080332622,313.17835072310186
152,185.63408317591504,116.48283407420877,2209.439507959969,2371.74031842754,123.05362166899428,237.174031842754,123.05362166899428
153,14.499941869528143,18.472667062154187,2204.7417856738666,842.697188761213,22.178609965886842,84.26971887612132,22.178609965886842
154,32.900037623630624,341.8253743902286,1894.1714470260872,1345.4234639554602,1378.9851223875448,134.54234639554602,1378.9851223875448
155,19.289531145404453,41.040391146248794,1871.4561104679726,2472.9831766947877,154.08975835881176,247.2983176694788,154.08975835881176
156,8.127267377239283,2.801007112270554,1876.3760073640794,1836.576255012812,3.264460761827488,183.65762550128122,3.264460761827488
157,452.80929414111444,501.76044433915104,1804.784392458987,1401.8169472163684,375.7068742546417,140.18169472163683,375.7068742546417
158,182.53075779287622,95.3715075167454,1882.817104845474,2294.6508992094855,40.52209194243113,229.46508992094857,40.52209194243113
159,5.608070570103351,6.647248028200011,1881.4975238588722,784.4402687018746,12.646822176203642,78.44402687018747,12.646822176203642
160,425.19655262294293,222.4751915525933,2062.959057298075,1023.2764772038145,646.4556603014381,102.32764772038145,646.4556603014381
161,118.15258671058349,99.00526002038532,2076.198754652744,1259.5240568160657,175.97902106774046,125.95240568160658,175.97902106774046
162,35.55091814765027,33.348571232688755,2076.623555660323,721.2619732791691,29.94448672103362,72.12619732791691,29.94448672103362
163,562.08757920831,417.2392797641638,2193.367476144054,744.3231984247889,764.5283861026658,74.43231984247889,764.5283861026658
164,50.44628737334234,119.91252573329825,2121.378923415431,995.7692639434731,124.12843039238095,99.57692639434731,124.12843039238095
165,14.750780305439562,6.121215828737377,2129.2709488768614,672.0659467949208,3.0962604457650436,67.20659467949208,3.0962604457650436
166,468.3402976507159,491.37536131540037,2082.818870329641,542.3907685332683,260.8568780066581,54.239076853326836,260.8568780066581
167,138.48216435920236,1587.1274320565085,627.2494944143746,0.0,142.49973254254454,0.0,142.49973254254454
168,10.096622560100196,47.75650641064499,589.0847794358248,715.9240101378747,16.723162083357003,71.59240101378747,16.723162083357003
169,688.4593632603743,154.30272295189047,1088.8184515812898,836.1973875250476,517.9105828048965,83.61973875250476,517.9105828048965
170,22.81006526643351,115.27291589585616,995.2150976885455,1016.5298175951737,277.17210906232475,101.65298175951737,277.17210906232475
171,6.050590135866081,24.387256980094662,976.5759013375236,640.0040847857492,43.65109781902524,64.00040847857493,43.65109781902524
172,686.5340018325551,360.693780078214,1268.0894230002368,875.3350007972344,849.7178889610491,87.53350007972345,849.7178889610491
173,32.030686279881024,169.7889397893009,1128.729635176823,1070.340778828329,461.3436530369107,107.03407788283289,461.3436530369107
174,142.2833080513045,214.47916981407502,1049.4196080114873,521.3699069827978,222.25199239883213,52.13699069827979,222.25199239883213
175,343.94992679595765,125.90896854582434,1250.2630699218228,857.3233058911255,20.585373654178966,85.73233058911256,20.585373654178966
176,247.53889848281227,141.88236190146245,1343.542661579032,962.174649240229,116.99640196732435,96.2174649240229,116.99640196732435
177,166.38768763623796,149.77868249454173,1351.8322823389165,486.1073912088583,198.14761281389866,48.61073912088583,198.14761281389866
178,277.587148132225,126.98611368518482,1488.5539593793453,927.9853647477573,86.94815231791159,92.79853647477574,86.94815231791159
179,66.58980492184835,228.58020359236855,1323.2340704627327,1102.1444916084597,297.94549552828823,110.21444916084597,297.94549552828823
180,56.41920742141235,147.50590413893428,1229.3264133741402,624.167923481025,308.11609302872426,62.416792348102504,308.11609302872426
181,145.82395597678249,126.5026651822227,1241.3565063698609,943.8137768117189,218.71134447335413,94.3813776811719,218.71134447335413
